0.02:  193.4113,171.7664,85.69999,
ParticipantNo: 218
ParticipantGen: 0
Date: 10/25/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_16
8.2:  71.8101,159.9047,174.3,box 3,7
8.22:  71.83964,159.6034,174.4,box 3,7
8.23:  71.86813,159.3075,174.5,box 3,7
8.25:  71.89668,159.0056,174.6,box 3,7
8.27:  71.92446,158.7117,174.6,box 3,7
8.28:  71.95294,158.4104,174.6,box 3,7
8.3:  71.98093,158.1142,174.6,box 3,7
8.32:  72.00935,157.8136,174.6,box 3,7
8.33:  72.03736,157.5173,174.6,box 3,7
8.35:  72.06551,157.2139,174.7,box 3,7
8.37:  72.09283,156.9194,174.7,box 3,7
8.38:  72.12067,156.6193,174.7,box 3,7
8.4:  72.14765,156.3228,174.8,box 3,7
8.42:  72.17476,156.019,174.9,box 3,7
8.43:  72.20039,155.726,175,box 3,7
8.45:  72.22733,155.4182,175,box 3,7
8.47:  72.25278,155.1273,175,box 3,7
8.48:  72.27928,154.8243,175,box 3,7
8.5:  72.30491,154.5253,175.1,box 3,7
8.52:  72.32999,154.2267,175.2,box 3,7
8.53:  72.35484,153.9308,175.2,box 3,7
8.55:  72.37958,153.6299,175.3,box 3,7
8.57:  72.40391,153.3339,175.3,box 3,7
8.58:  72.42877,153.0315,175.3,box 3,7
8.6:  72.45279,152.7393,175.3,box 3,7
8.62:  72.47685,152.4466,175.3,box 3,7
8.63:  72.50117,152.1508,175.3,box 3,7
8.65:  72.52598,151.8492,175.3,box 3,7
8.66:  72.54867,151.5731,175.3,box 3,7
8.68:  72.57353,151.2708,175.3,box 3,7
8.7:  72.59801,150.9729,175.3,box 3,7
8.71:  72.62309,150.6679,175.3,box 3,7
8.73:  72.64742,150.3721,175.3,box 3,7
8.75:  72.67244,150.0677,175.3,box 3,7
8.76:  72.69702,149.7687,175.3,box 3,7
8.78:  72.72247,149.4591,175.3,box 3,7
8.8:  72.74796,149.1492,175.3,box 3,7
8.82:  72.77314,148.8428,175.3,box 3,7
8.83:  72.79707,148.5517,175.3,box 3,7
8.85:  72.82181,148.2509,175.3,box 3,7
8.87:  72.84583,147.9587,175.3,box 3,7
8.88:  72.87086,147.6542,175.3,box 3,7
8.9:  72.89526,147.3575,175.3,box 3,7
8.92:  72.92025,147.0535,175.3,box 3,7
8.93:  72.94446,146.759,175.3,box 3,7
8.95:  72.96925,146.4575,175.3,box 3,7
8.97:  72.99432,146.1526,175.3,box 3,7
