0.02:  36.33662,31.57453,187.8998,
ParticipantNo: 230b
ParticipantGen: 1
Date: 11/6/2017
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_10
8.17:  110.0628,144.1759,323.7,box 5,7
8.18:  109.8826,144.4158,323.1,box 5,7
8.2:  109.7024,144.6498,322.4,box 5,7
8.22:  109.517,144.8838,321.6,box 5,7
8.23:  109.323,145.119,320.5,box 5,7
8.25:  109.1267,145.3457,319.1,box 5,7
8.27:  108.9214,145.5689,317.4,box 5,7
8.28:  108.702,145.7861,314.7,box 5,7
8.3:  108.4898,145.9847,313.1,box 5,7
8.32:  108.2675,146.1841,311.9,box 5,7
8.33:  108.0385,146.3825,310.9,box 5,7
8.35:  107.8114,146.573,310,box 5,7
8.37:  107.5742,146.763,308.7,box 5,7
8.38:  107.3361,146.9418,306.9,box 5,7
8.4:  107.087,147.115,304.8,box 5,7
8.42:  106.8387,147.2768,303.0999,box 5,7
8.43:  106.5825,147.4369,301.9999,box 5,7
8.45:  106.3302,147.5934,301.8,box 5,7
8.47:  106.0751,147.7515,301.8,box 5,7
8.48:  105.8267,147.9055,301.8,box 5,7
8.5:  105.5692,148.0652,301.8,box 5,7
8.52:  105.3158,148.2223,301.8,box 5,7
8.53:  105.0585,148.3818,301.8,box 4,7
8.55:  104.8058,148.5385,301.8,box 4,7
8.57:  104.5479,148.6984,301.8,box 4,7
8.58:  104.2953,148.855,301.8,box 4,7
8.6:  104.0341,149.017,301.8,box 4,7
8.62:  103.7878,149.1697,301.8,box 4,7
8.63:  103.529,149.3308,301.9,box 4,7
8.65:  103.2878,149.4833,302.3,box 4,7
8.67:  103.0376,149.6508,303.8,box 4,7
8.68:  102.7978,149.8262,306.2,box 4,7
8.7:  102.5633,150.0175,309.2,box 4,7
8.72:  102.3404,150.2261,313.0999,box 4,7
8.73:  102.1188,150.4532,315.7,box 4,7
8.75:  101.9243,150.673,318.4999,box 4,7
8.77:  101.7361,150.9105,321.6,box 4,7
8.78:  101.5611,151.1523,324.0999,box 4,7
8.8:  101.3933,151.4009,326,box 4,7
8.82:  101.2304,151.6576,327.6,box 4,7
8.83:  101.0787,151.9141,329.4,box 4,7
8.85:  100.9364,152.1773,331.6,box 4,7
8.87:  100.8073,152.4505,334.7,box 4,7
8.88:  100.6964,152.7263,338.1,box 4,7
8.9:  100.5996,153.037,342.7,box 4,7
8.92:  100.5318,153.2867,344.8,box 4,7
